timestamp,platform,market_id,event_id,price,liquidity
2026-03-14T17:47:11Z,polymarket,polymarket:561380:NO,will-collin-murray-boyles-win-the-202526-nba-rookie-of-the-year-award-233-167,0.9995,8226.06078
2026-03-14T17:47:11Z,polymarket,polymarket:561381:YES,will-khaman-maluach-win-the-202526-nba-rookie-of-the-year-award-241-825-233,0.0005,12522.67502
2026-03-14T17:47:11Z,polymarket,polymarket:561381:NO,will-khaman-maluach-win-the-202526-nba-rookie-of-the-year-award-241-825-233,0.9995,12522.67502
2026-03-14T17:47:11Z,polymarket,polymarket:561829:YES,russia-x-ukraine-ceasefire-by-march-31-2026,0.0195,279334.90335
2026-03-14T17:47:11Z,polymarket,polymarket:561829:NO,russia-x-ukraine-ceasefire-by-march-31-2026,0.9805,279334.90335
2026-03-14T17:47:11Z,polymarket,polymarket:561973:YES,will-donald-trump-win-the-2028-republican-presidential-nomination,0.0185,496901.34778
2026-03-14T17:47:11Z,polymarket,polymarket:561973:NO,will-donald-trump-win-the-2028-republican-presidential-nomination,0.9815,496901.34778
2026-03-14T17:47:11Z,polymarket,polymarket:561974:YES,will-jd-vance-win-the-2028-republican-presidential-nomination,0.383,348535.81689
2026-03-14T17:47:11Z,polymarket,polymarket:561974:NO,will-jd-vance-win-the-2028-republican-presidential-nomination,0.617,348535.81689
2026-03-14T17:47:11Z,polymarket,polymarket:561975:YES,will-marco-rubio-win-the-2028-republican-presidential-nomination,0.273,450677.73135
2026-03-14T17:47:11Z,polymarket,polymarket:561975:NO,will-marco-rubio-win-the-2028-republican-presidential-nomination,0.727,450677.73135
2026-03-14T17:47:11Z,polymarket,polymarket:561976:YES,will-tulsi-gabbard-win-the-2028-republican-presidential-nomination,0.0095,933716.4575
2026-03-14T17:47:11Z,polymarket,polymarket:561976:NO,will-tulsi-gabbard-win-the-2028-republican-presidential-nomination,0.9905,933716.4575
2026-03-14T17:47:11Z,polymarket,polymarket:561977:YES,will-glenn-youngkin-win-the-2028-republican-presidential-nomination,0.0135,353313.18029
2026-03-14T17:47:11Z,polymarket,polymarket:561977:NO,will-glenn-youngkin-win-the-2028-republican-presidential-nomination,0.9865,353313.18029
2026-03-14T17:47:11Z,polymarket,polymarket:561978:YES,will-donald-trump-jr-win-the-2028-republican-presidential-nomination,0.0125,485174.74873
2026-03-14T17:47:11Z,polymarket,polymarket:561978:NO,will-donald-trump-jr-win-the-2028-republican-presidential-nomination,0.9875,485174.74873
2026-03-14T17:47:11Z,polymarket,polymarket:561979:YES,will-ron-desantis-win-the-2028-republican-presidential-nomination,0.029,383798.07887
2026-03-14T17:47:11Z,polymarket,polymarket:561979:NO,will-ron-desantis-win-the-2028-republican-presidential-nomination,0.971,383798.07887
2026-03-14T17:47:11Z,polymarket,polymarket:561980:YES,will-nikki-haley-win-the-2028-republican-presidential-nomination,0.0125,352049.07086
2026-03-14T17:47:11Z,polymarket,polymarket:561980:NO,will-nikki-haley-win-the-2028-republican-presidential-nomination,0.9875,352049.07086
2026-03-14T17:47:11Z,polymarket,polymarket:561981:YES,will-vivek-ramaswamy-win-the-2028-republican-presidential-nomination,0.0145,673158.01981
2026-03-14T17:47:11Z,polymarket,polymarket:561981:NO,will-vivek-ramaswamy-win-the-2028-republican-presidential-nomination,0.9855,673158.01981
2026-03-14T17:47:11Z,polymarket,polymarket:561982:YES,will-sarah-huckabee-sanders-win-the-2028-republican-presidential-nomination,0.0065,1222634.67569
2026-03-14T17:47:11Z,polymarket,polymarket:561982:NO,will-sarah-huckabee-sanders-win-the-2028-republican-presidential-nomination,0.9935,1222634.67569
2026-03-14T17:47:11Z,polymarket,polymarket:561983:YES,will-greg-abbott-win-the-2028-republican-presidential-nomination,0.0095,1028759.93642
2026-03-14T17:47:11Z,polymarket,polymarket:561983:NO,will-greg-abbott-win-the-2028-republican-presidential-nomination,0.9905,1028759.93642
2026-03-14T17:47:11Z,polymarket,polymarket:561984:YES,will-robert-f-kennedy-jr-win-the-2028-republican-presidential-nomination,0.0075,943533.53324
2026-03-14T17:47:11Z,polymarket,polymarket:561984:NO,will-robert-f-kennedy-jr-win-the-2028-republican-presidential-nomination,0.9925,943533.53324
2026-03-14T17:47:11Z,polymarket,polymarket:561985:YES,will-brian-kemp-win-the-2028-republican-presidential-nomination,0.0105,537171.82127
2026-03-14T17:47:11Z,polymarket,polymarket:561985:NO,will-brian-kemp-win-the-2028-republican-presidential-nomination,0.9895,537171.82127
2026-03-14T17:47:11Z,polymarket,polymarket:561986:YES,will-byron-donalds-win-the-2028-republican-presidential-nomination,0.0065,613483.12713
2026-03-14T17:47:11Z,polymarket,polymarket:561986:NO,will-byron-donalds-win-the-2028-republican-presidential-nomination,0.9935,613483.12713
2026-03-14T17:47:11Z,polymarket,polymarket:561987:YES,will-elise-stefanik-win-the-2028-republican-presidential-nomination,0.0065,1189071.61728
2026-03-14T17:47:11Z,polymarket,polymarket:561987:NO,will-elise-stefanik-win-the-2028-republican-presidential-nomination,0.9935,1189071.61728
2026-03-14T17:47:11Z,polymarket,polymarket:561988:YES,will-josh-hawley-win-the-2028-republican-presidential-nomination,0.0085,384116.07895
2026-03-14T17:47:11Z,polymarket,polymarket:561988:NO,will-josh-hawley-win-the-2028-republican-presidential-nomination,0.9915,384116.07895
2026-03-14T17:47:11Z,polymarket,polymarket:561989:YES,will-ted-cruz-win-the-2028-republican-presidential-nomination,0.0115,620901.06362
2026-03-14T17:47:11Z,polymarket,polymarket:561989:NO,will-ted-cruz-win-the-2028-republican-presidential-nomination,0.9885,620901.06362
2026-03-14T17:47:11Z,polymarket,polymarket:561990:YES,will-elon-musk-win-the-2028-republican-presidential-nomination,0.0115,744678.95596
